Discharge Time (s),Charging time (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),,RUL
2595.3,10777.82,3.67,3.211,5460.001,6755.01,,1112
7408.64,10500.35,4.246,3.22,5508.992,6762.02,,1111
7393.76,10420.38,4.249,3.224,5508.993,6762.02,,1110
7385.5,10322.81,4.25,3.225,5502.016,6762.02,,1109
65022.75,56699.65,4.29,3.398,5480.992,53213.54,,1107
3301.18,5977.38,3.674,3.504,5023.633636,5977.38,,1106
5955.3,5967.55,4.013,3.501,5017.495,5967.55,,1105
5951.2,5962.21,4.014,3.501,5017.496,5962.21,,1104
5945.44,5954.91,4.014,3.501,5009.993667,5954.91,,1103
435251.49,443700.02,4.267,3.086,269.984,443700.02,,1102
3228.58,5969.89,3.689,3.485,5033.075692,5969.89,,1101
6019.9,5980.77,4.045,3.475,5053.842846,5980.77,,1100
6026.59,5966.82,4.047,3.477,5046.4295,5966.82,,1099
6008.07,5954.47,4.045,3.48,5033.075769,5954.47,,1098
423271.35,430028.84,4.27,3.108,219923.996,430028.84,,1097
2261.34,6070.11,4.038,3.901,1949.664,2922.69,,1096
2259.46,9310.98,4.042,3.373,5181.377,6161.38,,1095
2256.61,9296.64,4.042,3.374,5181.375,6154.37,,1094
2252.83,9243.58,4.043,3.374,5174.334,6147.33,,1093
2250.62,9245.53,4.044,3.374,5160.289,6140.29,,1092
2248.6,9248.32,4.044,3.375,5160.321,6133.34,,1091
2245.05,9215.78,4.044,3.374,5153.414,6126.4,,1090
2242.53,9190.62,4.044,3.376,5146.368,6119.36,,1089
2239.56,9179.43,4.044,3.377,5139.368,6112.36,,1088
2237.35,9181.21,4.044,3.377,5132.25,6105.27,,1087
2236.26,9198.3,4.045,3.377,5125.344,6098.34,,1086
2234.38,9176.38,4.045,3.378,5118.368,6091.36,,1085
2232.16,9145.58,4.045,3.378,5111.328,6084.33,,1084
2230.78,9137.28,4.045,3.377,5111.266,6084.25,,1083
2229.16,9131.56,4.045,3.377,5104.359,6077.38,,1082
2227.64,9142.98,4.045,3.378,5097.344,6077.34,,1081
2226.38,9149.66,4.045,3.377,5090.36,6070.36,,1080
2223.88,9133.25,4.045,3.378,5090.312,6063.3,,1079
2222.62,9112.39,4.045,3.379,5083.359,6056.36,,1078
2221.02,9112.14,4.046,3.378,5076.266,6049.28,,1077
2220.19,9136.16,4.046,3.378,5076.344,6049.38,,1076
2218.41,9101.06,4.046,3.393,5069.313,6042.31,,1075
2216.89,9112.24,4.046,3.379,5062.375,6035.36,,1074
2214.97,9212.78,4.025,3.604,5026.312,5999,,1073
2219.75,9174.41,4.041,3.686,5020.312,6000.31,,1072
2222.5,9125.16,4.045,3.382,5058.797,6035.28,,1071
2220.53,9155.72,4.045,3.379,5069.375,6049.38,,1070
2217.28,9115.94,4.045,3.379,5062.375,6035.38,,1069
